Timestamp,Classification,Accuracy
2023-01-31 01:52:24,Cacophony,8.2
2023-01-31 01:52:27,Synthesizer,14.84
2023-01-31 01:52:28,Hum,5.86
2023-01-31 01:52:32,Synthesizer,33.2
2023-01-31 01:52:33,Vehicle,8.2
2023-01-31 01:52:36,Synthesizer,4.3
2023-01-31 01:52:37,White noise,26.17
2023-01-31 01:52:40,Synthesizer,33.2
2023-01-31 01:52:41,Speech,4.3
2023-01-31 01:52:44,"Inside, small room",8.2
2023-01-31 01:52:45,Cacophony,5.86
2023-01-31 01:52:48,Synthesizer,26.17
2023-01-31 01:52:49,Music,3.12
2023-01-31 01:52:52,Cat,8.2
2023-01-31 01:52:53,Speech,5.86
2023-01-31 01:52:56,"Inside, small room",5.86
2023-01-31 01:52:57,Synthesizer,19.92
2023-01-31 01:53:00,Microwave oven,4.3
2023-01-31 01:53:01,Music,4.3
2023-01-31 01:53:04,Noise,8.2
2023-01-31 01:53:05,Synthesizer,10.94
2023-01-31 01:53:09,Speech,3.12
2023-01-31 01:53:10,Speech,4.3
2023-01-31 01:53:11,Microwave oven,5.86
2023-01-31 01:53:12,Speech,8.2
2023-01-31 01:53:15,"Inside, small room",8.2
2023-01-31 01:53:16,Synthesizer,5.86
2023-01-31 01:53:19,Speech,4.3
2023-01-31 01:53:20,Cacophony,4.3
2023-01-31 01:53:21,Speech,4.3
2023-01-31 01:53:24,Speech,3.12
2023-01-31 01:53:25,Synthesizer,19.92
2023-01-31 01:53:26,Speech,5.86
2023-01-31 01:53:28,Keyboard (musical),8.2
2023-01-31 01:53:29,Cacophony,19.92
2023-01-31 01:53:33,"Inside, small room",4.3
2023-01-31 01:53:34,Sound effect,5.86
2023-01-31 01:53:37,Synthesizer,41.41
2023-01-31 01:53:38,Synthesizer,19.92
2023-01-31 01:53:42,"Inside, small room",10.94
2023-01-31 01:53:43,"Inside, small room",5.86
2023-01-31 01:53:46,"Inside, small room",8.2
2023-01-31 01:53:47,Noise,19.92
2023-01-31 01:53:50,Synthesizer,19.92
2023-01-31 01:53:51,White noise,10.94
2023-01-31 01:53:54,Microwave oven,8.2
2023-01-31 01:53:55,Speech,3.12
2023-01-31 01:53:58,Synthesizer,8.2
2023-01-31 01:53:59,Cacophony,5.86
2023-01-31 01:54:02,Microwave oven,4.3
